text,target
"From: wargopl@sun.soe.clarkson.edu (Peter L. Wargo)
Subject: Re: x86 ~= 680x0 ?? (How do they compare?)
Organization: Clarkson University
Lines: 25
Nntp-Posting-Host: sun.soe.clarkson.edu

2545500@jeff-lab@queensu.ca (Peter Pundy) writes:

>Even better than that...  how does a 68000-based Amiga 2000 perform in 
>daily tasks compared to my 68030-based IIci.

>Answer, except in a very few cases, I get my butt kicked by the Amiga.

A similar reason is why people at work, used to seeing SCO unix running
on a 486, are suprised when they see my Sun-3 at home running faster w/a 16MHz
68020/68881.  The Sun was designed from the ground up for UNIX, the PC
wasn't.

This is why you need a gargantuan processor to run Windows.  The basic
design of the box is all wrong. (Would've been better if MS had put most
of Windows on a plug-in ROM card from day one. (priced at $24.95 or
so...) People woulda loved it.

Apple had the right idea, just stumbled a bit in the execution.

-Pete

--
Peter L. Wargo      / wargopl@sun.soe.clarkson.edu / E-Mail saves trees.
Documentation      /                              / It also makes the
Enable Software   /   518-877-8600, x528         / world smaller....
",4
"From: rye@mahogany209.cray.com (James K. Rye)
Subject: Re: where to put your helmet
Originator: rye@mahogany209
Lines: 30
Nntp-Posting-Host: mahogany209
Organization: Cray Research, Inc.


In article <1993Apr21.195738.2403@rd.hydro.on.ca>, jlevine@rd.hydro.on.ca (Jody Levine) writes:
> In article <10498.97.uupcb@compdyn.questor.org> ryan_cousineau@compdyn.questor.org (Ryan Cousineau)  writes:
> >
> >Another good place for your helmet is your mirror (!). 
> 
> This dents and dings the liner, sometimes quite a bit.
> 
> I've        bike                      like       | Jody Levine  DoD #275 kV
>      got a       you can        if you      -PF  | Jody.P.Levine@hydro.on.ca
>                          ride it                 | Toronto, Ontario, Canada


It also works great to put under your kickstand on those really hot
days when the tar gets really soft.....


================================================================================
                        
Jim ""rags"" Rye                    Senior Technical Support Analyst
86 Harley Davidson                     rye@crayamid.cray.com
                                    Cray Research Inc, Mpls, MN.

""If you're going to do something tonight that you'll be sorry for 
 tomorrow morning, sleep late.""
              -Henny Youngman

My opinions are mine and only mine, but for a small fee you may rent them.


",8
"From: V2110A@VM.TEMPLE.EDU (Richard Hoenes)
Subject: Waco
Organization: Temple University
Lines: 7
Nntp-Posting-Host: vm.temple.edu
X-Newsreader: NNR/VM S_1.3.2

Do all those who are saying the government is responsible for the death
of those in the compound also say that the Isrealis are responsible
for the death of the Isreali athletes at the Olympics? Hey, the
Palestinians and the Dividians COULD have given up peacefully ('yeah,
and monkey could fly out my butt' - Wayne).
 
Richard
",18
"From: ralph.buttigieg@f635.n713.z3.fido.zeta.org.au (Ralph Buttigieg)
Subject: Why not give $1 billion to first year-lo
Organization: Fidonet. Gate admin is fido@socs.uts.edu.au
Lines: 34

Original to: keithley@apple.com
G'day keithley@apple.com

21 Apr 93 22:25, keithley@apple.com wrote to All:

 kc> keithley@apple.com (Craig Keithley), via Kralizec 3:713/602


 kc> But back to the contest goals, there was a recent article in AW&ST
about a
 kc> low cost (it's all relative...) manned return to the moon.  A General
 kc> Dynamics scheme involving a Titan IV & Shuttle to lift a Centaur upper
 kc> stage, LEV, and crew capsule.  The mission consists of delivering two
 kc> unmanned payloads to the lunar surface, followed by a manned mission.
 kc> Total cost:  US was $10-$13 billion.  Joint ESA(?)/NASA project was
$6-$9
 kc> billion for the US share.

 kc> moon for a year.   Hmmm.  Not really practical.  Anyone got a
 kc> cheaper/better way of delivering 15-20 tonnes to the lunar surface
within
 kc> the decade?  Anyone have a more precise guess about how much a year's
 kc> supply of consumables and equipment would weigh?

Why not modify the GD plan into Zurbrin's Compact Moon Direct scheme? let
one of those early flight carry an O2 plant and make your own.

ta

Ralph

--- GoldED 2.41+
 * Origin: VULCAN'S WORLD - Sydney Australia (02) 635-1204  3:713/6
(3:713/635)
",14
"From: wirehead@cheshire.oxy.edu (David J. Harr)
Subject: Any Nanao 750i compatible Mac video cards?
Summary: I can get ehe monitor, but can I drive it?
Keywords: 21"" monitor, 24 bit video, Macintosh
Organization: The programmers who say NEE!
Lines: 15

Does anyone know if a Nanao 750i is compatible with any
popular Mac video cards? I have an oppurtunity to get a brand
new one, cheap, and I am very tempted, but it will be a waste
of time if I can't drive it using a standard video card.

While I'm on the subject, what's everybody's reccomendations for
a 21"" color monitor. I've heard good things about the NEC 6FG, and
of course, there is always the reliable old Macintosh 21"" display,
but what are YOUR experiences.

David J Harr
Cyberpunk Software.

""My definition of happiness is being famous for your financial
ability to indulge in every form of excess."" -- Calvin
",4
"From: g.coulter@daresbury.ac.uk (G. Coulter)
Subject: SHADOW Optical Raytracing Package?
Reply-To: g.coulter@daresbury.ac.uk
Organization: SERC Daresbury Laboratory, UK
Lines: 17
NNTP-Posting-Host: dlsg.dl.ac.uk

Hi Everyone ::

I am  looking for  some software  called SHADOW as 
far as  I know  its a   simple  raytracer  used in
the  visualization  of  synchrotron   beam  lines.
Now we have  an  old  version of the  program here
,but unfortunately we don't have any documentation
if anyone knows  where I  can  get  some  docs, or
maybe  a  newer  version  of  the program or  even 
another  program that does the same sort of  thing
I would love to hear from you.

PS I think SHADOW was written by a F Cerrina?

Anyone any ideas?

Thanks -Gary- SERC Daresbury Lab.
",1
"From: paladin@world.std.com (Thomas G Schlatter)
Subject: Re: SCSI/DOS/adding a 3rd drive..?!@#$
Organization: The World Public Access UNIX, Brookline, MA
Lines: 35

In article <1993Apr23.070230.9189@physchem.ox.ac.uk> mark@physchem.ox.ac.uk (Mark Jackson) writes:
>
>In article <1r74fr$d04@jethro.Corp.Sun.COM>, maf@Corp.Sun.COM (Mike Figueroa) writes:
>> 
>> Does anyone know if there are any problems (or if it's possible)
>> adding a third hard drive(scsi) to a dos pc.
>> 
>> I currently have a 386 pc with  Future Domain scsi board  and  2
>> Maxtor  scsi  drives  installed.  They work great, I haven't had
>> any problems!
>> 
>> Well, now I want more disk space and went out and  got   another
>> (larger)  scsi   hard  disk  thinking all I had to do was add it
>> to the chain(50pin ribbon  that  has  3  connectors)   and   run
>> the   fdisk   program   to format/initialize the disk.
>> 
>> That didn't happen.  When the pc boots, the  scsi  prom   shoots
>> back   the  devices   that   are  attached  to  the board[target
>> 0/target1/target2].  All three disks are seen.
>> 
>> When I run the dos fdisk program to format the disk, I choose to
>> select another  disk(option  5(dos6)) and voila, it's not there.
>> The first two disks show up no problem, but the  third  disk  is
>> no-where to be found....
>
>
>I have got an Adaptec SCSI card, that comes with its own version of FDISK.
>The problem with DOS is that it will only see two hard disks, any more need to be
>done by device drivers.
>

ODD, FDISK works fine for me with 2 IDE drives and a SCSI drive on
my Ultrastor 14F - only with the device driver loaded, though.


",3
"From: Sean_Oliver@mindlink.bc.ca (Sean Oliver)
Subject: descrambling channels
Organization: MIND LINK! - British Columbia, Canada
Lines: 13

I live up in British Columbia, Canada.The cable company I use is called
Rogers Cable. Does anyone know of their scrambling techniques, and ways of
getting
around them? Any suggestions of what they might use?

--
+--------------------------------------------+
| Sean Oliver                                |
| Internet Address: a8647@MINDLINK.BC.CA     |
|                                            |
| Mindlink! BBS (604)576-1412                |
+--------------------------------------------+

",12
"From: jodfishe@silver.ucs.indiana.edu (joseph dale fisher)
Subject: Re: Deification
Organization: Indiana University
Lines: 14

In article <Apr.10.05.30.35.1993.14329@athos.rutgers.edu> HOLFELTZ@LSTC2VM.stortek.com writes:
>Aaron Bryce Cardenas writes:
>After all, what does prophesy mean?  Secondly, what is an Apostle?  Answer:
>an especial witness--one who is suppose to be a personal witness.  That means
>to be a true apostle, one must have Christ appear to them.  Now lets see
>when did the church quit claiming ......?

Actually, an apostle is someone who is sent.  If you will, mailmen could
be called apostles in that sense.  However, with Jesus, they were
designated and were given power.  Remember that there were many
thousands of people who witnessed what Jesus did.  That didn't make them
apostles, though.

Joe Fisher
",15
"From: tmc@spartan.ac.BrockU.CA (Tim Ciceran)
Subject: Re: Turning photographic images into thermal print and/or negatives
Organization: Brock University, St. Catharines Ontario
X-Newsreader: TIN [version 1.1 PL9]
Lines: 22

Jennifer Lynn Urso (ju23+@andrew.cmu.edu) wrote:
:  
: well, i have lots of experience with scanning in images and altering
: them.  as for changing them back into negatives, is that really possible?

: (stuff deleted)

: jennifer urso:  the oh-so bitter woman of utter blahness(but cheerful
: undertones)

I use Aldus Photostyler on the PC and I can turn a colour or black and white
image into a negative or turn a negative into a colour or black and white
image.  I don't know how it does it but it works well.  To test it I scanned
a negative and used Aldus to create a positive.  It looked better than the
print that the film developers gave me.


-- 

TMC
(tmc@spartan.ac.BrockU.ca)

",1
"From: aduthie@mudskipper.css.itd.umich.edu (Andrew Duthie)
Subject: Re: Centris 610 flaky?
Organization: University of Michigan - ITD Consulting and Support
Lines: 24
NNTP-Posting-Host: mudskipper.css.itd.umich.edu

In article <C5yDqC.6JK@cs.uiuc.edu> scott@cs.uiuc.edu (Jay Scott) writes:
> A rep at the dealer (actually it's a university order center, so
> they don't have any immediate financial interest), told me that
> they have been having lots of problems with their Centris 610.
> He didn't go into details, but mentioned problems with the
> floppy drive and intermittent problems with printing files.
> It sounded to me like they were having both hardware problems
> and software compatibility problems with the machine.
> [deleted]
> So, what does the net think? Did the dealer just get one flaky
> machine, or did Apple send the C610 out the door too early?
> Is your C610 working just great, or is it buggy too?

A lot of the time, when you're dealing with someone who has no financial  
interest in selling you the machine, you get a lot of opinion (as opposed  
to factual information, etc.).  What it sounds like to me is that this guy  
has had an experience with one flaky Centris 610 and formed an  
all-encompassing opinion on the rest of the 610's.  I've seen lots of  
people who frustrated me to no end because they refused to believe any  
other Mac Xyz would be any good, since their experience (with >one<  
machine) with a Mac Xyz had been bad.  Their loss, eh?
 
   Andrew W. Duthie
   aduthie@css.itd.umich.edu
",4
"From: PETCH@gvg47.gvg.tek.com (Chuck)
Subject: Daily Verse
Lines: 6

For the Lord Himself will descend from Heaven with a shout, with the voice
of an archangel, and with the trumpet of God. And the dead in Christ will
rise first. Then we who are alive and remain will be caught up together
to meet the Lord in the air. And thus we shall always be with the Lord.

1 Thessalonians 4:16-17
",15
"From: pgf@srl03.cacs.usl.edu (Phil G. Fraering)
Subject: Re: Gamma Ray Bursters. WHere are they.
Organization: Univ. of Southwestern Louisiana
Lines: 33

ethanb@ptolemy.astro.washington.edu (Ethan Bradford) writes:

>u9263012@wampyr.cc.uow.edu.au (Walker Andrew John) writes:
>	   Also,if they did come from the Oort cloud we would expect to
>   see the same from other stars Oort Clouds.

>That's a very good point.  Perhaps none of the nearby stars have Oort
>clouds?  Alpha-centauri is a multiple-star system; you wouldn't expect
>an Oort cloud in it.

Sure about that? Maybe Proxima might cause problems, but at Oort
Cloud distances AC a and AC b together look like a point source.

Besides, even the solar system's Oort cloud is unstable over
geologic time, right, and needs to be replentished from somewhere
else, like the short period comets of the Kupier Belt?

(Or maybe I'm misremembering something I read or heard somewhere...)

>  What's the nearest single-star that is likely to
>have a planetary system?

Until we're able to perform a broad-band survey of nearby stars
to detect planets, we won't know enough to say whether or not
a single star has planets. And we're likely to find out about the
close ones first.

Heck, if neutron stars can have planets, anything can have planets.
(Or was that discovery disconfirmed?)

--
Phil Fraering         |""Seems like every day we find out all sorts of stuff.
pgf@srl02.cacs.usl.edu|Like how the ancient Mayans had televison."" Repo Man
",14
"From: eabu500@orion.oac.uci.edu (Michael)
Subject: Re: Monitors - should they be kept on 24 hours a day???
Nntp-Posting-Host: dialin33611.slip.nts.uci.edu
X-UserAgent: Nuntius v1.1.1d17
Organization: UC Irvine
Lines: 31
X-XXMessage-ID: <A7FFA130BA038ECA@dialin33611.slip.nts.uci.edu>
X-XXDate: Sun, 25 Apr 93 18:00:16 GMT

In article <cassidy.72.0@elan.rowan.edu> Kyle Cassidy,
cassidy@elan.rowan.edu writes:
>this is a bad idea. my machine is on 24 hours a day, but it's
actually 
>_doing_ things 24 hours a day. i use it as an all purpose alarm
clock, 
>scheduler, i've got routines that run in the middle of the night,
phone 
>calls it makes during the day when i'm out. if your machine is _on_
24 hours 
>a day, then you can count on it to be _working_ 24 hours a day. i
could call 
>it from work and download a file that i might need, i could call it
from 
>work and have it turn the lights on if i'm going to be late (oops,
more 
>wasted electricity -- but conversely, i could have it turn the
lights 
>_off_). heck, i suppose i could even connect the microwave and have
dinner 
>ready when i get there.
>
>oh well. nevermind. i'm just babbling.

All of those things that you've mention can still be accomplished
when the
machine is ""power down.""  When the previous poster said ""power
down"", it 
doesn't mean turning off the machine, it just means that the machine
is
in an energy conserving mode that sucks up least electricity.
",4
"From: brenda@bookhouse.Eng.Sun.COM (Brenda Bowden)
Subject: feverfew for migraines
Organization: Sun
Lines: 13
NNTP-Posting-Host: bookhouse


I heard a short blurb on the news yesterday about an herb called feverfew (?)
that some say is good for preventing migraines. I think the news said there
were two double-blind studies that found this effective.

Does anyone know about these studies? Or have experience with feverfew?
I'm skeptical, but open to trying it if I can find out more about this.
What is feverfew, and how much would you take to prevent migraines (if 
this is a good idea, that is)? Are there any known risks or side effects
of feverfew? 

Thanks in advance for any info!
Brenda
",13
"From: gpb@gpb-mac (greg berryman )
Subject: Re: Memory upgrades
Nntp-Posting-Host: 222.1.248.85
Reply-To: gpb@gpb-mac.sps.mot.com
Organization: Memories at Motorola
X-Newsreader: Tin 1.1 PL4
Lines: 33

jacob@plasma2.ssl.berkeley.edu (nga throgaw shaygiy) writes:
: 
: Excuse me if this is a frequent question, I checked in
: several FAQs but couldn't really find anything.

You are excused... the answer varies from Mac to Mac so it would be
a complex answer in the FAQ.
: 
: I have a IIsi with the standard 5 meg memory and I want
: (need) to add additional memory.  But I'm on a budget.
: I really don't need more than 10 meg max, so what is
: the best (performance wise) and most economical way
: to do this?  Someone told me that I should only use
: SIMMs of the same amount of memory, that is 4 1 meg,
: 4 2 meg, etc.  What if I just wanted to buy just 1 4 meg
: and use the rest of what I already have?  The manual
: hasn't been very helpful with this.
: 
The si uses a 32 bit wide data bus and therefore you must use 4 8-bit
wide simms.  Sorry, but no short cuts here.

: Thanks.

You're quite welcome.
: 
Greg.

--
My words, not Motorola's.   * ______ *    EQUAL rights NOT special rights     
gpb@gpb-mac.sps.mot.com     * \ BI / * I will NOT ride in the back of the bus.
Greg Berryman (512)928-6014 *  \  /  *         SILENCE = DEATH
Motorola Austin, Texas, USA *   \/   *     First, be true to yourself.
GLB mailing list ---> glblist@gpb-mac.sps.mot.com   (Motorola only)
",4
"From: taob@r-node.hub.org (Brian Tao)
Subject: Re: Krillean Photography
Organization: MuGS Research and Development Facility
X-Newsreader: MuGS 3.0d16 [Apr 22 93]
To: alex@vuse.vanderbilt.edu (Alexander P. Zijdenbos)
Reply-To: taob@r-node.hub.org
Lines: 24

In article <C65oIL.436@vuse.vanderbilt.edu>, Alexander P. Zijdenbos writes...
> 
> I am neither a real believer, nor a disbeliever when it comes to
> so-called ""paranormal"" stuff; but as far as I'm concerned, it is just
> as likely as the existence of, for instance, a god, which seems to be
> quite accepted in our societies - without any scientific basis.

    But no one (or at least, not many people) are trying to pass off God
as a scientific fact.  Not so with Kirlian photography.  I'll admit that
it is possible that some superior intelligence exists elsewhere, and if
people want to label that intelligence ""God"", I'm not going to stop
them.  Anyway, let's _not_ turn this into a theological debate.  ;-)

> I am convinced that it is a serious mistake to close your mind to
> something, ANYTHING, simply because it doesn't fit your current frame
> of reference. History shows that many great people, great scientists,
> were people who kept an open mind - and were ridiculed by sceptics.

    Read alt.fan.robert.mcelwaine sometime.  I've never been so
closed-minded before subscribing to that group.  :)

-- 
Brian Tao:: taob@r-node.hub.org (r-Node BBS, 416-249-5366, FREE!)
::::::::::: 90taobri@wave.scar.utoronto.ca (University of Toronto)
",13
"From: lioness@maple.circa.ufl.edu
Subject: Joystick again
Organization: Center for Instructional and Research Computing Activities
Lines: 10
Reply-To: LIONESS@ufcc.ufl.edu
NNTP-Posting-Host: maple.circa.ufl.edu


My disk that had my joystick code that some of you were kind enough to mail
me puked....specifically, I am looking for C code to read the position
of joystick WITHOUT using int15h, i.e. accessing port 0x200/0x201 directly.

I need it in C becaues of memory model considerations.

I only need to be able to read the X and Y position also.

Brian
",3
"From: Nanci Ann Miller <nm0w+@andrew.cmu.edu>
Subject: Books
Organization: Sponsored account, School of Computer Science, Carnegie Mellon, Pittsburgh, PA
Lines: 23
	<EDM.93Apr20145436@gocart.twisto.compaq.com>
NNTP-Posting-Host: andrew.cmu.edu
In-Reply-To: <EDM.93Apr20145436@gocart.twisto.compaq.com>

edm@twisto.compaq.com (Ed McCreary) writes:
> While we're on the topic of books, has anyone else noticed that Paine's
> ""The Age of Reason"" is hard to find.  I've been wanting to pick up
> a copy for a while, but not bad enough to mail order it.  I've noticed
> though that none of the bookstores I go to seem to carry it.  I thought
> this was supposed to be classic.  What's the deal?

Actually, I've got an entire list of books written by various atheist
authors and I went to the largest bookstore in my area (Pittsburgh) and
couldn't find _any_ of them.  What section of the bookstore do you find
these kinds of books in?  Do you have to look in an ""alternative"" bookstore
for most of them?  Any help would be appreciated (I can send you the list
if you want).

Thanks,
Nanci
.........................................................................
If you know (and are SURE of) the author of this quote, please send me
email (nm0w+@andrew.cmu.edu):
The fate of the country does not depend on what kind of paper you drop into
the ballot box once a year, but on what kind of man you drop from your
chamber into the street every morning.

",0
"From: rpicas@porto.INescn.PT (Rui Picas)
Subject: subscrive
Organization: The Internet
Lines: 3
NNTP-Posting-Host: enterpoop.mit.edu
To: <xpert@export.lcs.mit.edu>

please subscrive me.

rpicas@porto.inescn.pt
",5
"From: dpiaseck@jarthur.claremont.edu (Derek A. Piasecki)
Subject: Ami Pro 3.0 and PCTools compress?!? Doesn't like being moved?
Keywords: Ami Pro 3.0 PCTools compress
Organization: Harvey Mudd College, Claremont, CA 91711
Lines: 24



Has anyone had problems with Ami Pro 3.0 after running PCTools (v7.1)
compress?  I have not corrupted data due to having caches other than
PC-Cache running, so that is not it.  The first time I try to run Ami
Pro after loading windows, it loads, but causes (I think it was a) 
segmentation fault in AMIPRO.EXE right before it finishes, with all times
after that only managing to get to the logo box that first pops up when
it begins loading, and then causes a general protection fault in module
AMIPROUI.DLL at 0002:1147.  I have not been able to fix this problem except
by reinstalling Ami Pro.  This has happened twice, with both times being
after having ran compress on my hard drive.  BTW, I am not running stacker
or any other disk compression programs, and if you don't already know,
PCTools compress is actually a defragger, despite it's name.  My system is
a 386-40MHz, with 16MB of RAM and a NEC (OEM) hard drive, etc, but that
shouldn't make a difference.

PLEASE email me as I can't keep up with the newsgroup, and it will cut down
on net traffic anyways.  Thanks.

				-Derek

				dpiaseck@jarthur.claremont.edu

",2
"From: hbrooks@uiatma.atmos.uiuc.edu (Harold_Brooks)
Subject: Re: Spanky Released
Keywords: WHY!?!
Organization: Colorado Needs the Huckabay Kiteball Campaign Committee
Lines: 45

In article <1993Apr12.130652.22090@sei.cmu.edu> wp@sei.cmu.edu (William Pollak) writes:
[Deletions]
>
>Spanky isn't very good defensively anymore, he's an offensive liability, and,
>judging from his outburst this winter after the Bucs failed to sign Drabek,
>he's a jerk with his head in the sand. Tommy Prince, on the other hand, can't
>hit. In the paper, Simmons was citing the case of Tom Pagnozzi, who never hit
>in the minors or majors, but suddenly somehow learned how. 

Geez, Dal must have slipped something into Ted's drink sometime.  Comparing
Prince to Pagnozzi offensively is laughable.  Prince has never hit well in
the minors and he's now 27 years old, I think.  Pagnozzi was not a bad hitter
in the minors.  (I'll bring in the numbers tomorrow assuming I don't have
another brain cramp and forget.)  He had a very good year at Louisville 
before coming up to the majors.  As I recall, the hype on Pagnozzi coming up
in the organization was good hit, decent fielding.  When he got to the 
majors and didn't hit as well as expected (not as much playing time?), he 
became Exhibit 312 in Nichols' Law of Catcher Defense and got the reputation 
as an outstanding defensive catcher.  It's not clear he ever learned to
hit.  His four years with more than 100 AB--

Born 31 July 1962
Year     AB      BA     SLG     OBA  
1988    195    .282    .320    .328
1990    220    .277    .373    .321
1991    459    .264    .351    .317
1992    485    .249    .359    .290 

No power, less-than-league-average walks, peak year when he turned 28, 
now declining.  If Ted is going to invoke Pagnozzi as a model for Prince,
given that Prince has underperformed Pagnozzi in the minors, it's not
a rosy picture.

BTW, I'm still unhappy with moving Zeile, who had the same reputation 
coming up in the Cardinal organization as Pagnozzi, except that he was
a much, much better hitter, to 3rd where he could be an average hitter
and a below average fielder instead of a well-above average hitter
as an average (or below average) fielding catcher.

Harold
-- 
Harold Brooks                    hbrooks@uiatma.atmos.uiuc.edu
National Severe Storms Laboratory (Norman, OK)
""I used to work for a brewery, too, but I didn't drink on the job.""
-P. Bavasi on Dal Maxvill's view that Florida can win the NL East in '93
",9
"From: anasaz!karl@anasazi.com (Karl Dussik)
Subject: Re: Is ""Christian"" a dirty word?
Organization: Anasazi Inc Phx Az USA
Lines: 73

In article <Mar.25.03.53.08.1993.24855@athos.rutgers.edu> @usceast.cs.scarolina.edu:moss@cs.scarolina.edu (James Moss) writes:
>I was brought up christian, but I am not christian any longer.
>I also have a bad taste in my mouth over christianity.  I (in
>my own faith) accept and live my life by many if not most of the
>teachings of christ, but I cannot let myself be called a christian,
>beacuse to me too many things are done on the name of christianity,
>that I can not be associated with.  

A question for you - can you give me the name of an organization or a
philosophy or a political movement, etc., which has never had anything
evil done in its name?  You're missing a central teaching of Christianity -
man is inherently sinful.  We are saved through faith by grace.  Knowing
that, believing that, does not make us without sin.  Furthermore, not all
who consider themselves ""christians"" are (even those who manage to head
their own ""churches"").  ""Not everyone who says to me, 'Lord, Lord,' will
enter the kingdom of heaven, but only he who does the will of my Father who
is in heaven."" - Matt. 7:21.

>I also have a problem with the inconsistancies in the Bible, and
>how it seems to me that too many people have edited the original
>documents to fit their own world views, thereby leaving the Bible
>an unbelievable source.

Again, what historical documents do you trust?  Do you think Hannibal
crossed the Alps?  How do you know?  How do you know for sure?  What
historical documents have stood the scrutiny and the attempts to dis-
credit it as well as the Bible has?

>I don't have dislike of christians (except for a few who won't
>quit witnessing to me, no matter how many times I tell them to stop), 
>but the christian faith/organized religion will never (as far as i can 
>see at the moment) get my support.

Well, it's really a shame you feel this way.  No one can browbeat you
into believing, and those who try will probably only succeed in driving
you further away.  You need to ask yourself some difficult questions:
1) is there an afterlife, and if so, does man require salvation to attain
it.  If the answer is yes, the next question is 2) how does man attain this
salvation - can he do it on his own as the eastern religions and certain
modern offshoots like the ""new age movement"" teach or does he require God's
help?  3) If the latter, in what form does - indeed, in what form can such
help come?  Needless to say, this discussion could take a lifetime, and for
some people it did comprise their life's writings, so I am hardly in a
position to offer the answers here - merely pointers to what to ask.  Few,
of us manage to have an unshaken faith our entire lives (certainly not me).
The spritual life is a difficult journey (if you've never read ""A Pilgrim's
Progress,"" I highly recommend this greatest allegory of the english language).

>Peace and Love
>In God(ess)'s name
>James Moss

Now I see by your close that one possible source of trouble for you may be a
conflict between your politcal beliefs and your religious upbringing.  You
wrote that ""I (in my own faith) accept and live my life by many if not most
of the teachings of christ"".  Well, Christ referred to God as ""My Father"",
not ""My Mother"", and while the ""maleness"" of God is not the same as the
maleness of those of us humans who possess a Y chromosome, it does not
honor God to refer to Him as female purely to be trendy, non-discriminatory,
or politically correct.  This in no way disparages women (nor is it my intent
to do so by my use of the male pronoun to refer to both men and women - 
english just does not have a decent neuter set of pronouns).  After all, God
chose a woman as his only human partner in bringing Christ into the human
population.

Well, I'm not about to launch into a detailed discussion of
the role of women in Christianity at 1am with only 6 hours of sleep in the
last 63, and for that reason I also apologize for any shortcomings in this
article.  I just happened across yours and felt moved to reply.  I hope I
may have given you, and anyone else who finds himself in a similar frame of
mind, something to contemplate.

Karl Dussik
",15
"Organization: Washington University, St. Louis
From:         Brad Thone <C09615BT@WUVMD>
To:           NETNEWS@WUVMD
Subject:      Re: Well blow me down. yuk,yuk,yuk
Lines: 14

A long time back (months), I think a similar question was asked....

A suggestion, in addition to Ed's list, was to put your windward knee out
away from the bike.

I tried it, and it seems to help, actually.

-------------------------------------------------------------------------
Brad Thone
Systems Consultant
Systems Service Enterprises
St. Louis, MO
c09615bt @ wuvmd.wustl.edu
c09615bt @ wuvmd.bitnet
",8
"From: patchman@lion.WPI.EDU (Peter Bruce Harper)
Subject: Personal to Ulf Samuellsson
Organization: Worcester Polytechnic Institute
Lines: 22
Distribution: world
NNTP-Posting-Host: lion.wpi.edu


Dear Ulf,

	Would you possibly consider helpiMontreal Canadiens fans everywhere
by throwing a knee-check in the direction of Denis Savard during your upcoming
game against Montreal? We just can't seem to win WITH him!

						Thanx alot,
						Pete H.


:-)


###############################################################################
!Pete Harper          ! Baby, baby don't you hesitate 'cause I just can't wait!
!patchman@wpi.wpi.edu ! Lady once you get me down on my knees,                !
!OR                   ! then you can do what you please . . .                 !
!U_HARPER@jake.wpi.edu! COME ON AND LOVE ME!                                  !
!                     !         -Skid Row, ""Come On and Love Me""              !
*******************************************************************************

",10
"From: qwerty@tunisia.ssc.gov (Kris Schludermann)
Subject: Re: RFI: Art of clutchless shifting
Nntp-Posting-Host: tunisia.ssc.gov
Organization: Superconducting Super Collider Laboratory
Lines: 11

In article <1993Apr23.010311.23110@ra.oc.com>, lusky@ccwf.cc.utexas.edu (Jonathan R. Lusky) writes:
|> 
|> Shifting without the clutch on a transmission with syncros can and will cause
|> transmission damage, the only question being how long it  takesto grenade
|> something (for the trans in my 87  Pulsar SE, it was  about 3-5k miles, but
|> it had a weak  tranny in the first place).

Please explain the why of this. I have over 200k miles usage of clutchless
shift and no problems.

krispy
",7
"From: Mark B.
Subject: ""You could look it up.""
Organization: University of Toronto Chemistry Department
Lines: 12


Yes, I could look it up but I prefer to post this question 
to the net...

I read somewhere in a long forgotten article that the handsignals 
used by major league umps were originally used to help a 
deaf ball player by the name of ""Dummy"". Urban myth? True? 
I gots ta know.


Mark B.
mbrownel@alchemy.chem.utoronto.ca
",9
